0,"[(109, 0.1334074), (137, 0.066740744), (215, 0.066740744), (297, 0.071748175), (329, 0.1334074), (357, 0.06674047), (387, 0.066740744), (713, 0.2560341), (754, 0.07243993)]"
1,"[(35, 0.120682895), (126, 0.07178943), (238, 0.050055552), (349, 0.10613619), (360, 0.050055563), (370, 0.09464432), (415, 0.050055552), (555, 0.050411485), (683, 0.050055556), (698, 0.050055556), (699, 0.10005555), (754, 0.056669008), (775, 0.050055552), (776, 0.050055552)]"
2,"[(92, 0.066740744), (107, 0.07216315), (175, 0.06674074), (360, 0.38973826), (495, 0.066740744), (515, 0.06674074), (543, 0.066740744), (553, 0.066740744), (754, 0.071654156)]"
3,"[(111, 0.1334074), (573, 0.5873626), (698, 0.07068705), (754, 0.07550593), (852, 0.06674074)]"
4,"[(360, 0.25027782), (699, 0.25027776), (754, 0.2502778)]"
5,"[(103, 0.050055556), (104, 0.050055556), (108, 0.050581496), (117, 0.050055552), (301, 0.050055556), (350, 0.050055556), (415, 0.2967402), (440, 0.050055563), (535, 0.050055556), (675, 0.050055563), (683, 0.051987447), (747, 0.050055556), (754, 0.050055556), (818, 0.050913095)]"
6,"[(34, 0.09101009), (60, 0.5455556), (92, 0.0910101), (460, 0.09101009), (754, 0.09101009)]"
7,"[(175, 0.14301588), (482, 0.14301586), (647, 0.14301588), (689, 0.14301586), (754, 0.14301586), (818, 0.14301588)]"
8,"[(19, 0.25027776), (120, 0.2502778), (754, 0.25027776)]"
9,"[(242, 0.20022225), (460, 0.20022222), (509, 0.4002222)]"
10,"[(11, 0.14301588), (278, 0.14301588), (425, 0.14301588), (460, 0.285873), (466, 0.14301588)]"
11,"[(56, 0.100111105), (460, 0.10011111), (694, 0.6001104), (775, 0.100111105)]"
12,"[(460, 0.33370373), (887, 0.33370373)]"
13,"[(188, 0.2501389), (460, 0.12513888), (617, 0.1251389), (784, 0.37513888)]"
14,"[(7, 0.1251389), (290, 0.12513888), (460, 0.12513891), (541, 0.23961496), (585, 0.13566282), (790, 0.1251389)]"
15,"[(130, 0.25027776), (460, 0.25027776), (540, 0.2502778)]"
16,"[(34, 0.20022222), (373, 0.20022222), (460, 0.20022222), (841, 0.20022222)]"
17,"[(188, 0.2502778), (460, 0.5002778)]"
18,"[(34, 0.14301586), (373, 0.14301586), (460, 0.14301589), (465, 0.14301586), (698, 0.14301585), (841, 0.14301586)]"
19,"[(460, 0.285873), (509, 0.14301588), (790, 0.42873016)]"
20,"[(79, 0.07150793), (188, 0.07150794), (270, 0.07150793), (274, 0.07150793), (460, 0.1429365), (647, 0.50007933)]"
21,"[(188, 0.25027776), (460, 0.2502778), (524, 0.25027776)]"
22,"[(117, 0.04171296), (185, 0.083379626), (190, 0.117425054), (215, 0.041712966), (308, 0.08580625), (408, 0.053500783), (433, 0.04171296), (460, 0.08920306), (540, 0.044373002), (548, 0.04171296), (614, 0.041712966), (714, 0.061157797), (735, 0.0859142), (760, 0.1296569)]"
23,"[(233, 0.2502778), (460, 0.2502778), (859, 0.2502778)]"
24,"[(7, 0.05269006), (34, 0.053484723), (120, 0.19169557), (185, 0.05269006), (278, 0.07747672), (370, 0.21092962), (460, 0.10532163), (465, 0.05269006), (540, 0.1509163)]"
25,"[(274, 0.0910101), (307, 0.0910101), (460, 0.0910101), (508, 0.36373737), (583, 0.0910101), (729, 0.0910101), (735, 0.0910101)]"
26,"[(247, 0.16685183), (297, 0.16685186), (460, 0.16685186), (707, 0.16685186), (819, 0.16685183)]"
27,"[(247, 0.18191919), (297, 0.0910101), (460, 0.0910101), (707, 0.45464647), (819, 0.0910101)]"
28,"[(460, 0.33370373), (684, 0.33370373)]"
